symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-10-05 00:00:00+00:00,116.5,116.65,113.55,113.91,106243839,113.332824,113.4787461,110.4630228,110.8132359,106243839,0,1
AAPL,2020-10-06 00:00:00+00:00,113.16,116.12,112.25,115.7,161498212,110.0836254,112.9631547,109.1983647,112.5545728,161498212,0,1
AAPL,2020-10-07 00:00:00+00:00,115.08,115.55,114.13,114.62,96848985,111.9514282,112.4086507,111.0272549,111.5039338,96848985,0,1
AAPL,2020-10-08 00:00:00+00:00,114.97,116.4,114.5901,116.25,83477153,111.8444186,113.2355426,111.4748466,113.0896205,83477153,0,1
AAPL,2020-10-09 00:00:00+00:00,116.97,117,114.92,115.28,100506865,113.7900465,113.8192309,111.7957779,112.145991,100506865,0,1
AAPL,2020-10-12 00:00:00+00:00,124.4,125.18,119.2845,120.06,240226769,121.0180541,121.776849,116.0416244,116.7960416,240226769,0,1
AAPL,2020-10-13 00:00:00+00:00,121.1,125.39,119.65,125.27,262330451,117.8077681,121.9811399,116.3971879,121.8644022,262330451,0,1
AAPL,2020-10-14 00:00:00+00:00,121.19,123.03,119.62,121,151062308,117.8953213,119.685299,116.3680035,117.7104867,151062308,0,1
AAPL,2020-10-15 00:00:00+00:00,120.71,121.2,118.15,118.72,112559219,117.4283707,117.9050495,114.937967,115.4924709,112559219,0,1
AAPL,2020-10-16 00:00:00+00:00,119.02,121.548,118.81,121.28,115393808,115.7843151,118.2435887,115.5800242,117.9828746,115393808,0,1
AAPL,2020-10-19 00:00:00+00:00,115.98,120.419,115.66,119.96,120639337,112.8269607,117.1452818,112.5156603,116.6987602,120639337,0,1
AAPL,2020-10-20 00:00:00+00:00,117.51,118.98,115.63,116.2,124423728,114.315366,115.7454025,112.4864758,113.0409798,124423728,0,1
AAPL,2020-10-21 00:00:00+00:00,116.87,118.705,116.45,116.67,89945980,113.6927651,115.4778787,113.2841833,113.4982023,89945980,0,1
AAPL,2020-10-22 00:00:00+00:00,115.75,118.04,114.59,117.45,101987954,112.6032135,114.8309574,111.4747493,114.2569972,101987954,0,1
AAPL,2020-10-23 00:00:00+00:00,115.04,116.55,114.28,116.39,82572645,111.9125156,113.3814647,111.173177,113.2258144,82572645,0,1
AAPL,2020-10-26 00:00:00+00:00,115.05,116.55,112.88,114.01,111850657,111.9222438,113.3814647,109.8112375,110.9105173,111850657,0,1
AAPL,2020-10-27 00:00:00+00:00,116.6,117.28,114.5399,115.49,92276772,113.4301054,114.0916188,111.4260114,112.3502819,92276772,0,1
AAPL,2020-10-28 00:00:00+00:00,111.2,115.43,111.1,115.05,143937823,108.1769101,112.291913,108.0796287,111.9222438,143937823,0,1
